"#name","Norwegian-English dictionary"
"#version","2.4.2"
"#wordcount","8440"
"#idxfilesize","164338"
"#creationTime","2009.01.30"
"#sametypesequence","x"
"#description","Copyright: Converted by swaj under GNU Public License; Version: 1.1"
"#sourceLang","Norwegian"
"#targetLang","English"
"lekmann","<div class=""article""><div class=""k""><b>lekmann</b></div>layman</div>"
"lekse","<div class=""article""><div class=""k""><b>lekse</b></div>lesson</div>"
"lekte","<div class=""article""><div class=""k""><b>lekte</b></div>lath</div>"
"lekter","<div class=""article""><div class=""k""><b>lekter</b></div>barge</div>"
"lekter, pram","<div class=""article""><div class=""k""><b>lekter, pram</b></div>barge</div>"
"lem","<div class=""article""><div class=""k""><b>lem</b></div>limb</div>"
"lempe","<div class=""article""><div class=""k""><b>lempe</b></div>heave</div>"
"lempe, forskyve, hale og dra","<div class=""article""><div class=""k""><b>lempe, forskyve, hale og dra</b></div>heave</div>"
"lend","<div class=""article""><div class=""k""><b>lend</b></div>loin</div>"
"lend, kam","<div class=""article""><div class=""k""><b>lend, kam</b></div>loin</div>"
"lene","<div class=""article""><div class=""k""><b>lene</b></div>lean</div>"
"lenestol","<div class=""article""><div class=""k""><b>lenestol</b></div>arm-chair<br/>easychair, arm-chair<br/>easychair</div>"
"lengde","<div class=""article""><div class=""k""><b>lengde</b></div>length</div>"
"lengde-","<div class=""article""><div class=""k""><b>lengde-</b></div>longitudinal</div>"
"lengdegrad","<div class=""article""><div class=""k""><b>lengdegrad</b></div>longitude</div>"
"lenge","<div class=""article""><div class=""k""><b>lenge</b></div>long</div>"
"lenge, lengte, lang","<div class=""article""><div class=""k""><b>lenge, lengte, lang</b></div>long</div>"
"lenger","<div class=""article""><div class=""k""><b>lenger</b></div>further</div>"
"lengre","<div class=""article""><div class=""k""><b>lengre</b></div>farther</div>"
"lengsel","<div class=""article""><div class=""k""><b>lengsel</b></div>longing, yearning<br/>yearning</div>"
"lengselsfull","<div class=""article""><div class=""k""><b>lengselsfull</b></div>longing</div>"
"lengselsfull, lengsel","<div class=""article""><div class=""k""><b>lengselsfull, lengsel</b></div>longing</div>"
"lengst","<div class=""article""><div class=""k""><b>lengst</b></div>farthest</div>"
"lengst, fjernest","<div class=""article""><div class=""k""><b>lengst, fjernest</b></div>farthest</div>"
"lengte","<div class=""article""><div class=""k""><b>lengte</b></div>long, yearn<br/>yearn</div>"
"lenke","<div class=""article""><div class=""k""><b>lenke</b></div>link, fetter</div>"
"lenke, fotlenke","<div class=""article""><div class=""k""><b>lenke, fotlenke</b></div>fetter</div>"
"lensvesen","<div class=""article""><div class=""k""><b>lensvesen</b></div>feudalism</div>"
"lensvesen, føydalisme","<div class=""article""><div class=""k""><b>lensvesen, føydalisme</b></div>feudalism</div>"
"leppe","<div class=""article""><div class=""k""><b>leppe</b></div>lip</div>"
"leppestift","<div class=""article""><div class=""k""><b>leppestift</b></div>lipstick</div>"
"lerk","<div class=""article""><div class=""k""><b>lerk</b></div>larch</div>"
"lerke","<div class=""article""><div class=""k""><b>lerke</b></div>lark</div>"
"lerke, moro","<div class=""article""><div class=""k""><b>lerke, moro</b></div>lark</div>"
"lesbisk","<div class=""article""><div class=""k""><b>lesbisk</b></div>lesbian</div>"
"lese","<div class=""article""><div class=""k""><b>lese</b></div>read</div>"
"leseferdighet","<div class=""article""><div class=""k""><b>leseferdighet</b></div>literacy</div>"
"leseferdighet, skriveferdighet","<div class=""article""><div class=""k""><b>leseferdighet, skriveferdighet</b></div>literacy</div>"
"leselig","<div class=""article""><div class=""k""><b>leselig</b></div>legible</div>"
"lesjon","<div class=""article""><div class=""k""><b>lesjon</b></div>lesion</div>"
"lespe","<div class=""article""><div class=""k""><b>lespe</b></div>lisp</div>"
"leting","<div class=""article""><div class=""k""><b>leting</b></div>quest</div>"
"lett","<div class=""article""><div class=""k""><b>lett</b></div>easy, light</div>"
"lett antennelig","<div class=""article""><div class=""k""><b>lett antennelig</b></div>combustible</div>"
"lette","<div class=""article""><div class=""k""><b>lette</b></div>ease, lighten, facilitate, lift<br/>facilitate</div>"
"letthet","<div class=""article""><div class=""k""><b>letthet</b></div>ease, facility<br/>facility</div>"
"lettlurt","<div class=""article""><div class=""k""><b>lettlurt</b></div>dupe</div>"
"lettroende","<div class=""article""><div class=""k""><b>lettroende</b></div>gullible</div>"
"lettsindighet","<div class=""article""><div class=""k""><b>lettsindighet</b></div>frivolity</div>"
"lettsindighet, fjollethet","<div class=""article""><div class=""k""><b>lettsindighet, fjollethet</b></div>frivolity</div>"
"lettsinn","<div class=""article""><div class=""k""><b>lettsinn</b></div>levity</div>"
"lettsmeltelig","<div class=""article""><div class=""k""><b>lettsmeltelig</b></div>fusible</div>"
"leve","<div class=""article""><div class=""k""><b>leve</b></div>live</div>"
"levebrød","<div class=""article""><div class=""k""><b>levebrød</b></div>livelihood, living<br/>livelihood</div>"
"levebrød, livsførsel, levende","<div class=""article""><div class=""k""><b>levebrød, livsførsel, levende</b></div>living</div>"
"levende","<div class=""article""><div class=""k""><b>levende</b></div>living</div>"
"lever","<div class=""article""><div class=""k""><b>lever</b></div>liver</div>"
"leverandør","<div class=""article""><div class=""k""><b>leverandør</b></div>provider</div>"
"levere","<div class=""article""><div class=""k""><b>levere</b></div>deliver<br/>supply, hand, deliver<br/>supply</div>"
"levering","<div class=""article""><div class=""k""><b>levering</b></div>delivery</div>"
"leverpostei","<div class=""article""><div class=""k""><b>leverpostei</b></div>liverpaste</div>"
"li","<div class=""article""><div class=""k""><b>li</b></div>hillside, hikside</div>"
"li, åsside","<div class=""article""><div class=""k""><b>li, åsside</b></div>hikside<br/>hillside</div>"
"liberal","<div class=""article""><div class=""k""><b>liberal</b></div>liberal</div>"
"liberal, frisinnet, gavmild","<div class=""article""><div class=""k""><b>liberal, frisinnet, gavmild</b></div>liberal</div>"
"lidderlig","<div class=""article""><div class=""k""><b>lidderlig</b></div>lecherous</div>"
"lidelse","<div class=""article""><div class=""k""><b>lidelse</b></div>affliction</div>"
"lidenskap","<div class=""article""><div class=""k""><b>lidenskap</b></div>fire</div>"
"lider","<div class=""article""><div class=""k""><b>lider</b></div>ferret</div>"
"lider, oppspore, fritte","<div class=""article""><div class=""k""><b>lider, oppspore, fritte</b></div>ferret</div>"
"liga","<div class=""article""><div class=""k""><b>liga</b></div>league</div>"
"ligament","<div class=""article""><div class=""k""><b>ligament</b></div>ligament</div>"
"ligament, bånd","<div class=""article""><div class=""k""><b>ligament, bånd</b></div>ligament</div>"
"ligge","<div class=""article""><div class=""k""><b>ligge</b></div>lie</div>"
"ligge på lur","<div class=""article""><div class=""k""><b>ligge på lur</b></div>lurk</div>"
"ligning","<div class=""article""><div class=""k""><b>ligning</b></div>equation</div>"
"ligning, likestilling","<div class=""article""><div class=""k""><b>ligning, likestilling</b></div>equation</div>"
"lik","<div class=""article""><div class=""k""><b>lik</b></div>corpse<br/>even, like, equal, corpse</div>"
"likblek","<div class=""article""><div class=""k""><b>likblek</b></div>ghastly</div>"
"like","<div class=""article""><div class=""k""><b>like</b></div>equal</div>"
"likefram","<div class=""article""><div class=""k""><b>likefram</b></div>blunt</div>"
"likefram, sløv","<div class=""article""><div class=""k""><b>likefram, sløv</b></div>blunt</div>"
"likegyldig","<div class=""article""><div class=""k""><b>likegyldig</b></div>indifferent</div>"
"likegyldig, middelmådig","<div class=""article""><div class=""k""><b>likegyldig, middelmådig</b></div>indifferent</div>"
"likegyldighet","<div class=""article""><div class=""k""><b>likegyldighet</b></div>indifference</div>"
"likeledes","<div class=""article""><div class=""k""><b>likeledes</b></div>likewise</div>"
"likeledes, likeså","<div class=""article""><div class=""k""><b>likeledes, likeså</b></div>likewise</div>"
"likestilling","<div class=""article""><div class=""k""><b>likestilling</b></div>equation, equality</div>"
"likestilling, likhet","<div class=""article""><div class=""k""><b>likestilling, likhet</b></div>equality</div>"
"likestrøm","<div class=""article""><div class=""k""><b>likestrøm</b></div>direct-current</div>"
"likeså","<div class=""article""><div class=""k""><b>likeså</b></div>likewise</div>"
"liketil","<div class=""article""><div class=""k""><b>liketil</b></div>forthright</div>"
"likevekt","<div class=""article""><div class=""k""><b>likevekt</b></div>equilibrium</div>"
"likevel","<div class=""article""><div class=""k""><b>likevel</b></div>yet</div>"
"likeverd","<div class=""article""><div class=""k""><b>likeverd</b></div>equivalence</div>"
"likhet","<div class=""article""><div class=""k""><b>likhet</b></div>likeness, equality<br/>likeness</div>"
"likskue","<div class=""article""><div class=""k""><b>likskue</b></div>inquest</div>"
"likvidere","<div class=""article""><div class=""k""><b>likvidere</b></div>liquidate</div>"
"likvidere, avvikle","<div class=""article""><div class=""k""><b>likvidere, avvikle</b></div>liquidate</div>"
"likviditet","<div class=""article""><div class=""k""><b>likviditet</b></div>liquidity</div>"
"likvogn","<div class=""article""><div class=""k""><b>likvogn</b></div>hearse</div>"
"likør","<div class=""article""><div class=""k""><b>likør</b></div>liqueur</div>"
"lilje","<div class=""article""><div class=""k""><b>lilje</b></div>lily</div>"
"lilla","<div class=""article""><div class=""k""><b>lilla</b></div>lilac, purple</div>"
"lilla, purpur","<div class=""article""><div class=""k""><b>lilla, purpur</b></div>purple</div>"
"lim","<div class=""article""><div class=""k""><b>lim</b></div>glue</div>"
"lime inn","<div class=""article""><div class=""k""><b>lime inn</b></div>paste</div>"
"limettsitron","<div class=""article""><div class=""k""><b>limettsitron</b></div>lime</div>"
"lin","<div class=""article""><div class=""k""><b>lin</b></div>flax, linen<br/>flax<br/>linen</div>"
"lind","<div class=""article""><div class=""k""><b>lind</b></div>linden, lime<br/>linden</div>"
"lind, kalk, limettsitron","<div class=""article""><div class=""k""><b>lind, kalk, limettsitron</b></div>lime</div>"
"linfrø","<div class=""article""><div class=""k""><b>linfrø</b></div>linseed</div>"
"linje","<div class=""article""><div class=""k""><b>linje</b></div>line</div>"
"linjere","<div class=""article""><div class=""k""><b>linjere</b></div>line</div>"
"linse","<div class=""article""><div class=""k""><b>linse</b></div>lentil, lens<br/>lentil</div>"
"linse, objektiv","<div class=""article""><div class=""k""><b>linse, objektiv</b></div>lens</div>"
"lisens","<div class=""article""><div class=""k""><b>lisens</b></div>licence</div>"
"lisens, bevilling, avgift","<div class=""article""><div class=""k""><b>lisens, bevilling, avgift</b></div>licence</div>"
"lisse","<div class=""article""><div class=""k""><b>lisse</b></div>lace</div>"
"lisse, snøre, knipling","<div class=""article""><div class=""k""><b>lisse, snøre, knipling</b></div>lace</div>"
"list","<div class=""article""><div class=""k""><b>list</b></div>guile</div>"
"liste","<div class=""article""><div class=""k""><b>liste</b></div>list</div>"
"listeføre","<div class=""article""><div class=""k""><b>listeføre</b></div>list</div>"
"lite","<div class=""article""><div class=""k""><b>lite</b></div>little</div>"
"lite hus","<div class=""article""><div class=""k""><b>lite hus</b></div>cottage</div>"
"liten","<div class=""article""><div class=""k""><b>liten</b></div>diminutive<br/>small, young, diminutive<br/>small</div>"
"liten foss","<div class=""article""><div class=""k""><b>liten foss</b></div>cascade</div>"
"liten løgn","<div class=""article""><div class=""k""><b>liten løgn</b></div>fib</div>"
"liten uenighet","<div class=""article""><div class=""k""><b>liten uenighet</b></div>quibble</div>"
"liten uenighet, krangle om detaljer","<div class=""article""><div class=""k""><b>liten uenighet, krangle om detaljer</b></div>quibble</div>"
"liter","<div class=""article""><div class=""k""><b>liter</b></div>liter<br/>litre, liter<br/>litre</div>"
"litt","<div class=""article""><div class=""k""><b>litt</b></div>little</div>"
"litt, lite","<div class=""article""><div class=""k""><b>litt, lite</b></div>little</div>"
"litteratur","<div class=""article""><div class=""k""><b>litteratur</b></div>literature</div>"
"litterær","<div class=""article""><div class=""k""><b>litterær</b></div>literary</div>"
"liv","<div class=""article""><div class=""k""><b>liv</b></div>life<br/>lives, life<br/>lives</div>"
"livbelte","<div class=""article""><div class=""k""><b>livbelte</b></div>lifebelt<br/>safety-belt, lifebelt<br/>safety-belt</div>"
"live opp","<div class=""article""><div class=""k""><b>live opp</b></div>exhilarate</div>"
"livlig","<div class=""article""><div class=""k""><b>livlig</b></div>brisk, lively<br/>lively</div>"
"livløs","<div class=""article""><div class=""k""><b>livløs</b></div>lifeless</div>"
"livsførsel","<div class=""article""><div class=""k""><b>livsførsel</b></div>living</div>"
"livstid","<div class=""article""><div class=""k""><b>livstid</b></div>lifetime</div>"
"livsvarig","<div class=""article""><div class=""k""><b>livsvarig</b></div>lifelong</div>"
"lo","<div class=""article""><div class=""k""><b>lo</b></div>fluff</div>"
"lobbe","<div class=""article""><div class=""k""><b>lobbe</b></div>lob</div>"
"lodd","<div class=""article""><div class=""k""><b>lodd</b></div>lead</div>"
"lodde","<div class=""article""><div class=""k""><b>lodde</b></div>capelin<br/>fathom, capelin</div>"
"lodde, favn","<div class=""article""><div class=""k""><b>lodde, favn</b></div>fathom</div>"
"lodden","<div class=""article""><div class=""k""><b>lodden</b></div>hairy</div>"
"loddtrekning","<div class=""article""><div class=""k""><b>loddtrekning</b></div>lot</div>"
"loddtrekning, skjebne","<div class=""article""><div class=""k""><b>loddtrekning, skjebne</b></div>lot</div>"
